ID;Rt;Likes;D;abs
945996406380261000;21;34;-13;13
945992550753751000;9;0;9;9
945981889202008000;31;0;31;31
945957450536103000;143;0;143;143
945923208125050000;275;243;32;32
945922287466926000;2;8;-6;6
945914842518564000;11;0;11;11
945699391029039000;32;46;-14;14
946034798799224000;45;0;45;45
946025418121007000;310;0;310;310
945942922859597000;551;769;-218;218
945939163437821000;57;0;57;57
945996709355835000;3;10;-7;7
945995550347980000;2;4;-2;2
945946273093439000;2;7;-5;5
945762527283163000;0;0;0;0
946003158953754000;111;0;111;111
945353714705031000;1;37;-36;36
945020777795063000;294;764;-470;470
944051379957522000;0;1;-1;1
944006211736924000;23;184;-161;161
946043237357285000;8;8;0;0
946035703829422000;3;7;-4;4
945935935157559000;8;0;8;8
945915293012058000;13;48;-35;35
946036943732830000;0;0;0;0
946025641195069000;1;4;-3;3
945996467239636000;36;75;-39;39
945572450280067000;20;90;-70;70
944112859092606000;13;61;-48;48
945378388667195000;112;0;112;112
944989472659329000;811;1683;-872;872
944940240267022000;4776;0;4776;4776
944903777353633000;65;0;65;65
945780178751549000;17;28;-11;11
944344272307879000;9;26;-17;17
943773294406356000;27;81;-54;54
946033176383840000;20;42;-22;22
946014306453385000;3;3;0;0
946009278669877000;4;3;1;1
946036773062397000;5;18;-13;13
945634808989757000;6;16;-10;10
945700527932936000;37;182;-145;145
944573228101578000;36;193;-157;157
943905353300836000;129;794;-665;665
943164721825492000;19;67;-48;48
940728187406995000;22;0;22;22
944123146524876000;137;0;137;137
946166314112086000;18;0;18;18
944703406119247000;50;0;50;50
944505375642079000;24;0;24;24
946671333508878000;41;249;-208;208
946851834097950000;4;7;-3;3
946479879620476000;6;5;1;1
946414511950585000;1;3;-2;2
947016932271763000;12;4;8;8
946881865402724000;48;16;32;32
931483346999312000;0;0;0;0
946878501851881000;9;24;-15;15
942322853067726000;13;112;-99;99
941972208150233000;28;263;-235;235
941602402225995000;14;178;-164;164
946833444734226000;4;3;1;1
946828412437651000;3;8;-5;5
946787641063854000;5;6;-1;1
947040256796319000;0;12;-12;12
946697800821157000;3;0;3;3
946679705180295000;4;0;4;4
946727750395744000;0;3;-3;3
946674759840026000;1;3;-2;2
946659623372812000;3;3;0;0
946365429714472000;0;4;-4;4
945430901386825000;369;1847;-1478;1478
939536083305549000;77;761;-684;684
936624893285797000;57;412;-355;355
934168923444076000;16;0;16;16
946852097428877000;7;34;-27;27
946667132737245000;200;380;-180;180
946104658526748000;12;65;-53;53
946677962463678000;21;28;-7;7
946659857704288000;15;63;-48;48
946349768422428000;109;344;-235;235
944129134455910000;6;31;-25;25
940554633944162000;6;0;6;6
946705098322907000;12;13;-1;1
946704312234856000;1;3;-2;2
946697979414634000;4;0;4;4
946344944163278000;5;7;-2;2
943760911550107000;2487;30551;-28064;28064
942150784388681000;2189;26777;-24588;24588
938390565913276000;3774;33666;-29892;29892
937101388580081000;2994;27981;-24987;24987
934804914106195000;3640;36703;-33063;33063
946750550946787000;0;2;-2;2
946466985529020000;205;1045;-840;840
946496300564013000;32;137;-105;105
946334564653428000;14;25;-11;11
946329216651538000;5;5;0;0
946829916909252000;3;22;-19;19
946828822867038000;1;13;-12;12
946812697370349000;2;14;-12;12
946790026570067000;0;0;0;0
946816876088348000;0;1;-1;1
946731029888471000;10;0;10;10
946743182997573000;42;145;-103;103
946684216410075000;4;36;-32;32
947022201236094000;8;17;-9;9
946969351562899000;10;9;1;1
946758959687335000;1;0;1;1
946440618955427000;0;3;-3;3
946380530009882000;510;1484;-974;974
945202963445895000;198;973;-775;775
946656117802831000;7;0;7;7
946298519702441000;3;0;3;3
946040610812809000;5;12;-7;7
946836999071137000;1;1;0;0
946843390783651000;888;0;888;888
946790037370359000;11;43;-32;32
946773004448616000;1497;2172;-675;675
938897875999670000;96;810;-714;714
934855913810280000;140;1340;-1200;1200
946925053819568000;44;89;-45;45
946743859790233000;88;103;-15;15
946719000330997000;127;0;127;127
946381491663024000;249;243;6;6
946078579816878000;2;4;-2;2
944145709028306000;12;26;-14;14
945592429637447000;11;11;0;0
944176458955722000;6;16;-10;10
944132245031448000;4;24;-20;20
943827651030110000;4;6;-2;2
942852539250302000;4;3;1;1
943413847897071000;15;0;15;15
943184590696464000;11;28;-17;17
945009682833293000;48;75;-27;27
944181685054296000;7;52;-45;45
944171042645344000;5;18;-13;13
944170279433068000;3;5;-2;2
944662671680507000;25;0;25;25
944186354958852000;15;88;-73;73
943424078249168000;7;0;7;7
942723259950346000;18;110;-92;92
946681738683699000;5;20;-15;15
945969802614591000;12;37;-25;25
935559332212690000;1194;6841;-5647;5647
947074800446517000;0;3;-3;3
947047571415093000;28;47;-19;19
946652625973456000;24;0;24;24
946389672372121000;458;0;458;458
946046391436173000;53;0;53;53
946722547365826000;3;0;3;3
946398549171941000;39;0;39;39
946039738959585000;5;0;5;5
945710564877090000;16;29;-13;13
945675937932349000;6;0;6;6
947063494817525000;56;101;-45;45
946931401932333000;108;233;-125;125
947102210596450000;3;14;-11;11
947079569655332000;1;4;-3;3
947067735896416000;1;1;0;0
947058273437605000;3;5;-2;2
936262633237467000;2;4;-2;2
947065995952304000;55;38;17;17
946819381610401000;50;42;8;8
946806086388060000;93;0;93;93
946794222862168000;54;40;14;14
946785421660389000;125;76;49;49
947088046964518000;0;1;-1;1
947066841771495000;1;1;0;0
946827896844374000;0;1;-1;1
946752588321644000;1;0;1;1
946711949777219000;0;0;0;0
946709885869346000;3;17;-14;14
946691624913993000;0;4;-4;4
946664586761179000;7;31;-24;24
945372545045467000;1;10;-9;9
943045840549097000;0;1;-1;1
942031694462377000;6;0;6;6
935909607935037000;3;14;-11;11
935286182560313000;7;0;7;7
947137452812185000;0;5;-5;5
947113463725170000;23;49;-26;26
946850813980196000;55;153;-98;98
946834959557214000;8;56;-48;48
945646780187906000;14;124;-110;110
942056257153851000;41;0;41;41
947085569166856000;3;1;2;2
947054666298224000;4;8;-4;4
946710540776288000;2;4;-2;2
946797522818863000;83;0;83;83
945786757496352000;225;0;225;225
946060804838903000;2;5;-3;3
944666120581210000;0;2;-2;2
944191969869357000;1;0;1;1
947068540015857000;12;36;-24;24
946908766892642000;70;90;-20;20
946773277057470000;6;2;4;4
946836722075267000;94;638;-544;544
945991307029233000;509;2227;-1718;1718
945602591618035000;583;2994;-2411;2411
942076449464430000;159;1094;-935;935
939966724916629000;583;3694;-3111;3111
938681537180127000;111;305;-194;194
937669341289512000;275;0;275;275
947112627892826000;6;9;-3;3
947082419596914000;4;11;-7;7
946795580935819000;10;13;-3;3
946780468195635000;38;25;13;13
946758056800653000;25;16;9;9
947106291155161000;1;5;-4;4
947038325197721000;2;7;-5;5
947105177659637000;0;0;0;0
947044590711959000;1;3;-2;2
947029491490025000;0;1;-1;1
946803010973220000;0;3;-3;3
947074778728484000;12;4;8;8
947069781198495000;5;3;2;2
947029624390811000;7;6;1;1
944855352100708000;25;25;0;0
945970128298094000;80;129;-49;49
946345797657952000;20;40;-20;20
945250249198702000;1;3;-2;2
944948489980710000;11;36;-25;25
944693980352131000;13;66;-53;53
944202101705658000;8;35;-27;27
944606956601466000;5;0;5;5
944195875206848000;7;0;7;7
942747077116874000;1;2;-1;1
947065234367315000;10;0;10;10
946696993849724000;22;15;7;7
947086446606864000;16;0;16;16
945971774306611000;27;0;27;27
945723881691561000;73;392;-319;319
945707010892251000;192;0;192;192
946742612182016000;5;7;-2;2
945270430306328000;9;23;-14;14
941393353479921000;5;18;-13;13
946517010980143000;4;19;-15;15
946512502539644000;31;81;-50;50
946508825963704000;16;0;16;16
946507919348158000;9;0;9;9
947120327221481000;2;6;-4;4
947029648013254000;4;8;-4;4
947090167445286000;2;9;-7;7
946766789534535000;6;15;-9;9
946725889513050000;7;13;-6;6
946468463408754000;3;0;3;3
947444241642541000;1;2;-1;1
947443734165229000;1;2;-1;1
946675455301742000;17;42;-25;25
946425396811194000;3;25;-22;22
946303596798324000;10;42;-32;32
946097131944779000;21;57;-36;36
947068204261797000;130;280;-150;150
947053778896936000;218;556;-338;338
947008915975352000;208;0;208;208
947007389680758000;74;0;74;74
947603531158077000;18;73;-55;55
947452947679637000;5;35;-30;30
947448947575885000;7;24;-17;17
947445066066513000;3;11;-8;8
945635915376021000;1;2;-1;1
941742259095162000;12;0;12;12
939904082793435000;13;0;13;13
936668894378459000;24;0;24;24
931468755963695000;2;51;-49;49
946839517176221000;2;34;-32;32
946123792505597000;8;23;-15;15
945693306293497000;4;6;-2;2
945602673109237000;4;17;-13;13
947460397870788000;1108;8201;-7093;7093
942142859758784000;1182;8204;-7022;7022
941629830604513000;614;4725;-4111;4111
944257495232663000;118;1655;-1537;1537
940297726306258000;622;3748;-3126;3126
922227570917236000;299;2836;-2537;2537
946772910269706000;11;20;-9;9
946742666934484000;14;27;-13;13
946352242474483000;43;77;-34;34
945998966143012000;7;26;-19;19
945949936398544000;14;34;-20;20
947740238381797000;819;0;819;819
947453957466664000;437;0;437;437
947450680721080000;908;0;908;908
947150186568175000;81;0;81;81
947107904120852000;29;103;-74;74
947064037501800000;156;0;156;156
947001495135903000;3;3;0;0
946705423192731000;1;0;1;1
946413890564476000;221;1248;-1027;1027
945375899125518000;162;1358;-1196;1196
947761809234300000;16;28;-12;12
947009808900780000;5;8;-3;3
947535782209826000;20;80;-60;60
947507606024867000;30;28;2;2
947470037505409000;0;0;0;0
947433936942174000;1;3;-2;2
947029588378636000;12;16;-4;4
946350720772722000;43;0;43;43
945942447292641000;1;2;-1;1
945700872281051000;3;5;-2;2
943916929986777000;9;0;9;9
943888963173052000;7;14;-7;7
945958951010652000;49;0;49;49
945063614590996000;19;50;-31;31
944831458539130000;6;0;6;6
944531883982979000;28;0;28;28
944262764066983000;41;0;41;41
943772792310456000;6;0;6;6
947590456740843000;856;4679;-3823;3823
947156278815739000;739;0;739;739
945953659824852000;195;0;195;195
945789600706060000;8905;18834;-9929;9929
945781813196328000;95;0;95;95
947573578844852000;4;15;-11;11
947565616927596000;3;12;-9;9
947521006733807000;14;21;-7;7
947427554721398000;20;47;-27;27
947415041413918000;6;11;-5;5
947263976274055000;235;938;-703;703
946858197272465000;36;302;-266;266
945030342926393000;832;5546;-4714;4714
943528161928777000;50;305;-255;255
940355650449821000;116;523;-407;407
946623157049483000;2;0;2;2
945539558372007000;1;0;1;1
945039157285486000;62;142;-80;80
944070883001421000;2;0;2;2
945674933144653000;84;516;-432;432
941356410369015000;505;0;505;505
940299310196912000;1457;0;1457;1457
947755525743235000;8;11;-3;3
947702260070604000;0;1;-1;1
947457616640401000;0;1;-1;1
947457509719199000;0;3;-3;3
947139957038157000;24;0;24;24
947128609189384000;1;14;-13;13
946822166309474000;11;0;11;11
946142563425292000;10;0;10;10
947760306599505000;5;0;5;5
947754465129615000;1;4;-3;3
947575842091225000;0;4;-4;4
947569298788065000;1;2;-1;1
947566782126080000;2;3;-1;1
947556674843414000;11;9;2;2
947500425435115000;4;0;4;4
947184203048865000;8;6;2;2
946686973573509000;24;12;12;12
946077009746284000;4;0;4;4
947089896442945000;10;8;2;2
947029499572510000;24;33;-9;9
946020545350504000;4;23;-19;19
945998323558871000;69;309;-240;240
947046738870898000;1;31;-30;30
946643102026084000;2;0;2;2
947673751050686000;24;90;-66;66
947625988632072000;62;186;-124;124
947513992922255000;15;30;-15;15
947399504764063000;41;77;-36;36
946695053006819000;12;0;12;12
946051325535637000;6;0;6;6
943102155631841000;4;11;-7;7
942819949017468000;18;37;-19;19
941694550787149000;19;29;-10;10
